"DateTime","Germany, Base","Germany, Peak"
"2000-11-07 00:00:00",23.13,30.25
"2000-11-08 00:00:00",22.28,29.56
"2000-11-09 00:00:00",18.48,22.47
"2000-11-10 00:00:00",20.93,25.08
"2000-11-11 00:00:00",15.82,17.86
"2000-11-12 00:00:00",13,14.7
"2000-11-13 00:00:00",23.35,30.91
"2000-11-14 00:00:00",23.82,28.52
"2000-11-15 00:00:00",25.99,32.04
"2000-11-16 00:00:00",24.56,31.46
"2000-11-17 00:00:00",25.1,31.65
"2000-11-18 00:00:00",18.77,21.25
"2000-11-19 00:00:00",16.92,20.27
"2000-11-20 00:00:00",25.17,32.19
"2000-11-21 00:00:00",24.15,30.26
"2000-11-22 00:00:00",26.86,32.55
"2000-11-23 00:00:00",26.19,33.25
"2000-11-24 00:00:00",24.61,28.65
"2000-11-25 00:00:00",22.24,26.11
"2000-11-26 00:00:00",15.09,16.13
"2000-11-27 00:00:00",27.81,34
"2000-11-28 00:00:00",25.44,30.87
"2000-11-29 00:00:00",26,31.51
"2000-11-30 00:00:00",29.32,37.73
"2000-12-01 00:00:00",23.15,29.02
"2000-12-02 00:00:00",16.67,19.18
"2000-12-03 00:00:00",16.83,19.34
"2000-12-04 00:00:00",26.61,35.25
"2000-12-05 00:00:00",24.79,29.08
"2000-12-06 00:00:00",29.66,37.96
"2000-12-07 00:00:00",26.15,31.52
"2000-12-08 00:00:00",18.75,19.07
"2000-12-09 00:00:00",19.68,23.36
"2000-12-10 00:00:00",16.79,18.96
"2000-12-11 00:00:00",25.18,31.3
"2000-12-12 00:00:00",25.2,31.49
"2000-12-13 00:00:00",21.23,25.16
"2000-12-14 00:00:00",23.43,28.65
"2000-12-15 00:00:00",25.26,31.55
"2000-12-16 00:00:00",18.71,21.29
"2000-12-17 00:00:00",16.26,18.18
"2000-12-18 00:00:00",30.19,39.88
"2000-12-19 00:00:00",35.8,46.7
"2000-12-20 00:00:00",32.8,42.23
"2000-12-21 00:00:00",26.07,31.86
"2000-12-22 00:00:00",22.78,25.55
"2000-12-23 00:00:00",19.63,20.91
"2000-12-24 00:00:00",16.64,17.91
"2000-12-25 00:00:00",15.06,15.69
"2000-12-26 00:00:00",15.12,15.61
"2000-12-27 00:00:00",19.99,24.28
"2000-12-28 00:00:00",19.12,21.63
"2000-12-29 00:00:00",17.92,20.2
"2000-12-30 00:00:00",18.24,20.48
"2000-12-31 00:00:00",16.46,18.6
"2001-01-01 00:00:00",12.64,11.79
"2001-01-02 00:00:00",20.22,21.78
"2001-01-03 00:00:00",19.21,20.49
"2001-01-04 00:00:00",21.1,24.39
"2001-01-05 00:00:00",21.14,23.86
"2001-01-06 00:00:00",16.59,18.3
"2001-01-07 00:00:00",15.33,17.33
"2001-01-08 00:00:00",23.61,29.68
"2001-01-09 00:00:00",24.5,30.24
"2001-01-10 00:00:00",25.22,31.77
"2001-01-11 00:00:00",25.1,31.16
"2001-01-12 00:00:00",23.97,28.19
"2001-01-13 00:00:00",22.02,24.44
"2001-01-14 00:00:00",20.88,21.98
"2001-01-15 00:00:00",29.15,36.95
"2001-01-16 00:00:00",29.62,34.79
"2001-01-17 00:00:00",30.17,37.68
"2001-01-18 00:00:00",27.39,32.05
"2001-01-19 00:00:00",29.92,36.41
"2001-01-20 00:00:00",22.51,24.66
"2001-01-21 00:00:00",18.28,19.39
"2001-01-22 00:00:00",28.78,37.51
"2001-01-23 00:00:00",25.54,30.91
"2001-01-24 00:00:00",20.75,23.28
"2001-01-25 00:00:00",25.71,31.32
"2001-01-26 00:00:00",23.94,28.08
"2001-01-27 00:00:00",17.82,18.95
"2001-01-28 00:00:00",15.65,17.12
"2001-01-29 00:00:00",23.9,28.83
"2001-01-30 00:00:00",26.36,32.52
"2001-01-31 00:00:00",25.12,29.98
"2001-02-01 00:00:00",24.93,28.42
"2001-02-02 00:00:00",28.31,35.87
"2001-02-03 00:00:00",22.09,24.6
"2001-02-04 00:00:00",18.27,20.7
"2001-02-05 00:00:00",26.35,33.98
"2001-02-06 00:00:00",21.06,25.25
"2001-02-07 00:00:00",23.31,28.17
"2001-02-08 00:00:00",22.38,27.03
"2001-02-09 00:00:00",22.21,26.55
"2001-02-10 00:00:00",19.49,22.32
"2001-02-11 00:00:00",16.06,17.69
"2001-02-12 00:00:00",22.07,26.11
"2001-02-13 00:00:00",21.48,24.35
"2001-02-14 00:00:00",21.94,24.38
"2001-02-15 00:00:00",26.37,30.97
